transaction_id,customer_id,transaction_date,channel,direction,amount,counterparty_country,counterparty_id
TX100048,CUST1255,2026-07-16 00:00:00,Wire,Credit,1680.28,US,CP2483
TX100049,CUST1156,2026-01-04 00:00:00,Wire,Credit,412.54,US,CP2314
TX100050,CUST1039,2026-08-16 00:00:00,ACH,Debit,1636.69,NG,CP1425
TX100051,CUST1064,2026-02-02 00:00:00,P2P,Credit,1625.43,MX,CP2420
TX100052,CUST1109,2026-04-25 00:00:00,Wire,Debit,4457.59,NG,CP2157
TX100053,CUST1025,2026-03-30 00:00:00,Cash Deposit,Credit,12365.56,GH,CP1053
TX100054,CUST1152,2026-03-29 00:00:00,Card,Debit,4143.48,US,CP1458
TX100055,CUST1131,2026-02-05 00:00:00,P2P,Debit,4200.48,CA,CP1687
TX100056,CUST1194,2026-05-22 00:00:00,Wire,Credit,1376.42,US,CP1382
TX100057,CUST1215,2026-02-27 00:00:00,Wire,Credit,1097.65,US,CP2148
TX100058,CUST1040,2026-05-29 00:00:00,P2P,Credit,3642.66,NG,CP1759
TX100059,CUST1233,2026-07-21 00:00:00,Card,Debit,1371.05,US,CP1622
TX100060,CUST1246,2026-01-01 00:00:00,ACH,Debit,871.76,AE,CP1826
TX100061,CUST1005,2026-07-12 00:00:00,Cash Deposit,Debit,417.63,MX,CP1701
TX100062,CUST1228,2026-08-09 00:00:00,ACH,Debit,392.1,US,CP1717
TX100063,CUST1282,2026-07-02 00:00:00,ACH,Credit,651.82,GB,CP1355
TX100064,CUST1117,2026-07-18 00:00:00,P2P,Credit,402.83,US,CP2407
TX100065,CUST1074,2026-05-22 00:00:00,Cash Deposit,Credit,352.04,US,CP1823
TX100066,CUST1165,2026-03-28 00:00:00,Cash Deposit,Debit,1075.27,IR,CP2262
TX100067,CUST1087,2026-08-19 00:00:00,Card,Credit,407.97,US,CP1477
TX100068,CUST1062,2026-07-15 03:00:00,ACH,Debit,11714.12,US,CP1835
TX100069,CUST1249,2026-02-27 00:00:00,ACH,Debit,1437.36,US,CP1079
TX100070,CUST1180,2026-06-21 00:00:00,ACH,Credit,1677.8,US,CP1393
TX100071,CUST1268,2026-06-05 00:00:00,ACH,Credit,326.2,US,CP1157
TX100072,CUST1214,2026-08-01 00:00:00,Cash Withdrawal,Credit,2608.1,US,CP2097
TX100073,CUST1220,2026-04-16 00:00:00,Wire,Debit,373.76,US,CP1493
TX100074,CUST1235,2026-03-01 00:00:00,P2P,Credit,721.52,MX,CP2198
TX100075,CUST1099,2026-08-24 00:00:00,ACH,Credit,1831.96,US,CP2096
TX100076,CUST1039,2026-08-19 00:00:00,ACH,Debit,526.06,GH,CP1705
TX100077,CUST1138,2026-03-27 00:00:00,P2P,Credit,14133.46,SY,CP1865
TX100078,CUST1291,2026-02-11 00:00:00,ACH,Credit,1909.96,US,CP2158
TX100079,CUST1250,2026-03-01 00:00:00,Cash Withdrawal,Debit,1596.35,US,CP1652
TX100080,CUST1216,2026-02-26 00:00:00,ACH,Debit,4827.45,US,CP2228
TX100081,CUST1107,2026-07-12 00:00:00,Check,Debit,155.87,US,CP2094
TX100082,CUST1063,2026-06-04 00:00:00,Card,Credit,4437.91,US,CP2281
TX100083,CUST1241,2026-07-22 00:00:00,ACH,Credit,473.33,RU,CP1154
TX100084,CUST1131,2026-01-17 00:00:00,Check,Debit,539.07,US,CP1189
TX100085,CUST1234,2026-06-29 00:00:00,Cash Withdrawal,Debit,145.39,GB,CP2150
TX100086,CUST1063,2026-04-01 00:00:00,P2P,Credit,3752.77,US,CP2488
TX100087,CUST1140,2026-07-15 00:00:00,Card,Debit,1200.71,US,CP2032
TX100088,CUST1239,2026-06-02 00:00:00,Cash Deposit,Debit,246.89,US,CP2202
TX100089,CUST1268,2026-02-17 00:00:00,Cash Deposit,Credit,1129.26,GB,CP1669
TX100090,CUST1013,2026-07-13 00:00:00,Wire,Debit,4512.01,US,CP1707
TX100091,CUST1115,2026-06-01 00:00:00,P2P,Credit,516.22,US,CP1416
TX100092,CUST1080,2026-08-03 00:00:00,ACH,Debit,1642.14,US,CP2323
TX100093,CUST1224,2026-05-15 00:00:00,P2P,Debit,447.16,US,CP1061
TX100094,CUST1233,2026-08-18 00:00:00,P2P,Credit,1035.24,US,CP1510
TX100095,CUST1191,2026-08-16 00:00:00,P2P,Credit,9975.47,US,CP1464
TX100096,CUST1223,2026-07-27 00:00:00,P2P,Credit,1306.39,CA,CP1455
TX100097,CUST1099,2026-04-10 00:00:00,Wire,Debit,655.39,MX,CP1234
TX100098,CUST1017,2026-08-09 00:00:00,P2P,Credit,4651.62,SG,CP1844
TX100099,CUST1159,2026-03-03 00:00:00,Cash Deposit,Debit,198.2,US,CP2011
TX100100,CUST1006,2026-08-30 00:00:00,P2P,Debit,1351.72,US,CP1495
TX100101,CUST1181,2026-03-18 00:00:00,Wire,Debit,3030.1,US,CP1902
TX100102,CUST1181,2026-03-21 00:00:00,Wire,Credit,236.05,NG,CP2207
TX100103,CUST1161,2026-05-09 00:00:00,P2P,Debit,2494.67,MX,CP1511
TX100104,CUST1253,2026-02-17 00:00:00,ACH,Debit,13871.72,US,CP1688
TX100105,CUST1033,2026-09-03 00:00:00,Card,Credit,6770.95,US,CP1211
TX100106,CUST1121,2026-04-26 00:00:00,Card,Debit,462.76,US,CP1426
TX100107,CUST1297,2026-06-24 00:00:00,Cash Withdrawal,Credit,2408.15,US,CP2130
TX100108,CUST1076,2026-08-11 00:00:00,Wire,Debit,737.08,US,CP1491
TX100109,CUST1289,2026-06-30 00:00:00,Wire,Credit,801.41,SG,CP1973
TX100110,CUST1000,2026-02-02 00:00:00,ACH,Debit,7554.27,US,CP2073
TX100111,CUST1011,2026-04-27 00:00:00,P2P,Credit,1577.53,US,CP2337
TX100112,CUST1063,2026-06-15 00:00:00,Check,Debit,1294.32,GB,CP1171
TX100113,CUST1283,2026-04-10 00:00:00,ACH,Credit,1328.89,GB,CP2256
TX100114,CUST1193,2026-07-15 00:00:00,ACH,Credit,407.78,US,CP1377
TX100115,CUST1159,2026-08-21 00:00:00,Cash Deposit,Debit,325.16,MX,CP1712
TX100116,CUST1036,2026-05-03 00:00:00,Check,Credit,948.86,GB,CP2029
TX100117,CUST1037,2026-04-23 00:00:00,ACH,Debit,1695.45,US,CP1627
TX100118,CUST1257,2026-06-16 00:00:00,ACH,Debit,1224.6,US,CP1336
TX100119,CUST1246,2026-02-01 00:00:00,Cash Deposit,Debit,6904.83,US,CP1860
TX100120,CUST1017,2026-05-26 00:00:00,Wire,Debit,2705.85,US,CP1975
TX100121,CUST1129,2026-07-15 00:00:00,Wire,Credit,800.02,US,CP1617
TX100122,CUST1163,2026-02-21 00:00:00,Cash Withdrawal,Credit,1069.51,RU,CP2185
TX100123,CUST1213,2026-02-20 00:00:00,ACH,Credit,10156.92,US,CP1642
TX100124,CUST1002,2026-04-24 00:00:00,ACH,Debit,7541.68,US,CP2312
TX100125,CUST1248,2026-04-08 00:00:00,Cash Deposit,Credit,2869.25,NG,CP1616
TX100126,CUST1157,2026-06-02 00:00:00,Check,Credit,396.46,MX,CP2280
TX100127,CUST1161,2026-06-03 00:00:00,ACH,Credit,578.85,NG,CP2203
TX100128,CUST1107,2026-07-10 00:00:00,ACH,Credit,886.07,GH,CP1717
TX100129,CUST1014,2026-07-27 00:00:00,ACH,Credit,2039.24,US,CP1487
TX100130,CUST1279,2026-06-16 00:00:00,ACH,Debit,1811.56,RU,CP1521
TX100131,CUST1246,2026-01-02 00:00:00,ACH,Credit,2524.69,US,CP2072
TX100132,CUST1248,2026-07-31 00:00:00,Wire,Debit,163.75,AE,CP1588
TX100133,CUST1208,2026-06-13 00:00:00,Wire,Credit,1480.23,US,CP2135
TX100134,CUST1145,2026-06-05 00:00:00,Cash Withdrawal,Debit,3847.69,US,CP1519
TX100135,CUST1273,2026-02-04 00:00:00,ACH,Credit,2273.5,US,CP1478
TX100136,CUST1032,2026-01-09 00:00:00,Check,Debit,1328.73,US,CP2489
TX100137,CUST1081,2026-06-07 00:00:00,Cash Withdrawal,Credit,885.67,US,CP1299
TX100138,CUST1134,2026-02-18 00:00:00,Card,Debit,921.9,US,CP2321
TX100139,CUST1235,2026-06-01 00:00:00,ACH,Debit,437.21,US,CP2446
TX100140,CUST1100,2026-09-06 00:00:00,Card,Credit,1195.81,US,CP1167
TX100141,CUST1261,2026-05-10 00:00:00,Cash Deposit,Credit,4623.4,US,CP2024
TX100142,CUST1094,2026-08-03 00:00:00,Wire,Credit,1274.68,MX,CP1790
TX100143,CUST1106,2026-04-17 00:00:00,Card,Debit,6219.64,SG,CP1232
TX100144,CUST1096,2026-01-30 00:00:00,Cash Deposit,Debit,924.57,US,CP2459
TX100145,CUST1123,2026-05-16 00:00:00,Wire,Credit,767.21,CA,CP1908
TX100146,CUST1244,2026-06-07 00:00:00,Cash Deposit,Credit,4399.45,US,CP1321
TX100147,CUST1100,2026-08-28 00:00:00,Cash Withdrawal,Debit,400.22,GH,CP2425
TX100148,CUST1146,2026-05-21 00:00:00,Wire,Debit,832.03,SY,CP1270
TX100149,CUST1001,2026-03-30 00:00:00,Cash Deposit,Credit,303.61,US,CP2060
TX100150,CUST1166,2026-02-15 00:00:00,Wire,Credit,1279.97,US,CP2440
TX100151,CUST1069,2026-04-28 00:00:00,ACH,Credit,477.46,US,CP1807
TX100152,CUST1147,2026-04-21 00:00:00,ACH,Debit,567.79,GB,CP1715
TX100153,CUST1099,2026-02-06 00:00:00,Card,Debit,584.39,CA,CP2147
TX100154,CUST1113,2026-02-07 00:00:00,Card,Credit,682.61,SY,CP1631
TX100155,CUST1032,2026-04-08 00:00:00,Wire,Debit,2715.52,NG,CP2134
TX100156,CUST1138,2026-06-13 00:00:00,Card,Debit,4742.82,MX,CP1004
TX100157,CUST1229,2026-01-13 00:00:00,Cash Deposit,Debit,51026.52,US,CP1885
TX100158,CUST1182,2026-06-21 00:00:00,Wire,Debit,1800.73,SG,CP1236
TX100159,CUST1128,2026-08-16 00:00:00,Wire,Credit,4419.12,GH,CP2020
TX100160,CUST1253,2026-05-23 00:00:00,Wire,Credit,505.17,US,CP2267
TX100161,CUST1170,2026-03-28 00:00:00,Wire,Credit,1673.61,NG,CP1659
TX100162,CUST1184,2026-03-07 00:00:00,ACH,Debit,1010.06,MX,CP2003
TX100163,CUST1085,2026-08-23 00:00:00,Card,Credit,1529.36,US,CP1578
TX100164,CUST1205,2026-01-19 00:00:00,Cash Deposit,Debit,1872.48,GH,CP1065
TX100165,CUST1108,2026-02-03 00:00:00,ACH,Credit,936.02,GB,CP2293
TX100166,CUST1058,2026-03-28 00:00:00,Cash Deposit,Credit,810.65,CA,CP1546
TX100167,CUST1226,2026-06-15 00:00:00,Cash Deposit,Debit,618.4,SG,CP1272
TX100168,CUST1173,2026-08-09 00:00:00,P2P,Credit,775.08,US,CP2051
TX100169,CUST1140,2026-05-31 00:00:00,ACH,Credit,2062.21,RU,CP2436
TX100170,CUST1214,2026-04-01 00:00:00,Cash Deposit,Credit,255.09,US,CP2292
TX100171,CUST1178,2026-06-15 00:00:00,Card,Debit,7552.94,AE,CP1172
TX100172,CUST1227,2026-02-16 00:00:00,Card,Credit,3782.24,MX,CP1350
TX100173,CUST1126,2026-07-18 00:00:00,ACH,Credit,538.78,US,CP2092
TX100174,CUST1299,2026-06-09 00:00:00,Wire,Credit,3979.67,US,CP2261
TX100175,CUST1167,2026-01-19 00:00:00,P2P,Credit,2227.09,RU,CP2044
TX100176,CUST1141,2026-05-27 00:00:00,Wire,Credit,450.13,US,CP2415
TX100177,CUST1269,2026-07-04 00:00:00,P2P,Credit,545.01,US,CP2472
TX100178,CUST1299,2026-04-09 00:00:00,Wire,Credit,1943.1,GH,CP2120
TX100179,CUST1080,2026-01-07 00:00:00,Wire,Debit,578.23,MX,CP1517
TX100180,CUST1069,2026-07-27 00:00:00,ACH,Credit,1584.51,IR,CP1624
TX100181,CUST1155,2026-03-17 00:00:00,P2P,Credit,818.43,US,CP1762
TX100182,CUST1021,2026-01-24 00:00:00,Wire,Debit,6063.85,MX,CP2216
TX100183,CUST1206,2026-07-31 00:00:00,ACH,Credit,330.62,US,CP1520
TX100184,CUST1203,2026-08-05 00:00:00,Wire,Debit,5922.13,US,CP2021
TX100185,CUST1026,2026-05-23 00:00:00,ACH,Credit,647.03,US,CP1028
TX100186,CUST1080,2026-06-04 00:00:00,Cash Deposit,Credit,1618.43,CA,CP1679
TX100187,CUST1288,2026-08-21 00:00:00,Check,Credit,10896.06,US,CP2244
TX100188,CUST1054,2026-08-14 00:00:00,Check,Credit,419.64,US,CP1128
TX100189,CUST1149,2026-08-04 00:00:00,Card,Credit,351.41,IR,CP1482
TX100190,CUST1204,2026-01-26 00:00:00,Card,Credit,395.1,RU,CP2123
TX100191,CUST1073,2026-04-16 00:00:00,Check,Debit,128.13,RU,CP1641
TX100192,CUST1101,2026-05-20 00:00:00,ACH,Debit,649.33,GH,CP1486
TX100193,CUST1228,2026-03-12 00:00:00,Cash Deposit,Debit,16908.98,US,CP1032
TX100194,CUST1127,2026-06-24 00:00:00,Card,Debit,632.85,US,CP1166
TX100195,CUST1244,2026-02-20 00:00:00,Check,Credit,936.18,US,CP1892
TX100196,CUST1017,2026-03-26 00:00:00,P2P,Credit,3045.55,US,CP1407
TX100197,CUST1189,2026-01-11 00:00:00,ACH,Debit,2416.9,GB,CP1301
TX100198,CUST1102,2026-02-15 00:00:00,Wire,Debit,140.41,US,CP1057
TX100199,CUST1274,2026-06-29 00:00:00,ACH,Debit,2151.54,CA,CP2053
TX100200,CUST1131,2026-04-13 00:00:00,Card,Credit,7881.97,US,CP2243
TX100201,CUST1026,2026-07-21 00:00:00,Card,Debit,6649.08,US,CP1802
TX100202,CUST1250,2026-02-20 00:00:00,Cash Deposit,Debit,217.46,US,CP1368
TX100203,CUST1158,2026-01-12 00:00:00,ACH,Credit,1736.79,US,CP2302
TX100204,CUST1017,2026-02-28 00:00:00,Check,Debit,4752.42,GB,CP1352
TX100205,CUST1222,2026-05-03 00:00:00,Card,Credit,3204.18,GH,CP1716
TX100206,CUST1175,2026-06-19 00:00:00,Check,Debit,668.3,US,CP1689
TX100207,CUST1275,2026-07-27 00:00:00,P2P,Credit,1846.45,US,CP2226
TX100208,CUST1210,2026-06-26 00:00:00,Check,Credit,1986.59,US,CP1678
TX100209,CUST1192,2026-06-09 00:00:00,Wire,Debit,797.23,US,CP1502
TX100210,CUST1066,2026-02-01 00:00:00,ACH,Debit,1534.55,GB,CP2222
TX100211,CUST1180,2026-04-15 00:00:00,Card,Debit,1525.8,US,CP1291
TX100212,CUST1051,2026-07-15 00:00:00,Card,Debit,643.91,US,CP2268
TX100213,CUST1116,2026-08-26 00:00:00,Wire,Debit,924.38,US,CP1497
TX100214,CUST1129,2026-02-12 00:00:00,Cash Withdrawal,Credit,663.55,US,CP2037
TX100215,CUST1171,2026-04-16 00:00:00,ACH,Credit,6596.31,IR,CP1962
TX100216,CUST1062,2026-01-13 00:00:00,ACH,Debit,1767.64,CA,CP2155
TX100217,CUST1166,2026-03-20 00:00:00,Check,Credit,3650.68,US,CP1346
TX100218,CUST1097,2026-07-13 00:00:00,Card,Credit,1935.93,GH,CP2128
TX100219,CUST1271,2026-05-05 00:00:00,ACH,Debit,3793.55,US,CP1089
TX100220,CUST1297,2026-09-03 00:00:00,P2P,Debit,791.57,US,CP2066
TX100221,CUST1248,2026-03-28 00:00:00,P2P,Debit,1720.19,CA,CP1470
TX100222,CUST1070,2026-06-11 00:00:00,Cash Withdrawal,Credit,376.0,US,CP1474
TX100223,CUST1221,2026-04-09 00:00:00,Cash Deposit,Credit,1809.99,GB,CP2164
TX100224,CUST1294,2026-09-02 00:00:00,P2P,Credit,1719.14,US,CP1904
TX100225,CUST1277,2026-05-05 00:00:00,ACH,Debit,212.93,US,CP1741
TX100226,CUST1261,2026-06-16 00:00:00,Check,Credit,190.84,US,CP2485
TX100227,CUST1019,2026-01-20 00:00:00,P2P,Credit,415.41,US,CP1623
TX100228,CUST1045,2026-01-06 00:00:00,Cash Deposit,Credit,2206.24,US,CP1538
TX100229,CUST1230,2026-05-31 00:00:00,Wire,Debit,561.14,US,CP2088
TX100230,CUST1092,2026-08-24 00:00:00,Wire,Credit,796.52,CA,CP2313
TX100231,CUST1139,2026-05-26 00:00:00,P2P,Debit,142.24,MX,CP2166
TX100232,CUST1144,2026-04-29 00:00:00,ACH,Credit,38196.02,IR,CP1830
TX100233,CUST1225,2026-06-27 00:00:00,P2P,Credit,909.95,US,CP1804
TX100234,CUST1222,2026-07-27 00:00:00,ACH,Debit,316.66,US,CP2311
TX100235,CUST1088,2026-03-02 00:00:00,Cash Deposit,Credit,246.1,CA,CP1216
TX100236,CUST1237,2026-03-13 00:00:00,Wire,Credit,4147.32,US,CP1283
TX100237,CUST1140,2026-01-11 00:00:00,ACH,Debit,1090.17,US,CP2397
TX100238,CUST1175,2026-05-23 00:00:00,P2P,Debit,1654.72,US,CP2164
TX100239,CUST1247,2026-06-26 00:00:00,Card,Credit,1736.52,US,CP1727
TX100240,CUST1085,2026-06-24 00:00:00,Cash Deposit,Debit,1062.25,US,CP1699
TX100241,CUST1010,2026-04-03 00:00:00,Wire,Credit,2436.3,US,CP1432
TX100242,CUST1196,2026-07-13 00:00:00,P2P,Credit,13694.64,US,CP1178
TX100243,CUST1087,2026-05-30 00:00:00,ACH,Credit,745.07,US,CP2044
TX100244,CUST1077,2026-03-13 00:00:00,Card,Debit,1328.5,US,CP2105
TX100245,CUST1146,2026-03-09 00:00:00,Cash Deposit,Credit,2581.88,US,CP1639
TX100246,CUST1263,2026-03-02 00:00:00,P2P,Credit,1932.59,US,CP2461
TX100247,CUST1255,2026-03-29 00:00:00,Wire,Debit,5371.89,RU,CP1999
TX100248,CUST1219,2026-04-07 00:00:00,Cash Deposit,Debit,1820.61,GH,CP2112
TX100249,CUST1081,2026-03-07 00:00:00,Cash Withdrawal,Credit,839.9,US,CP1627
TX100250,CUST1283,2026-05-27 00:00:00,P2P,Debit,2995.08,GB,CP1072
TX100251,CUST1246,2026-05-04 00:00:00,Card,Debit,257.93,US,CP1012
TX100252,CUST1011,2026-06-06 00:00:00,Cash Deposit,Debit,1406.17,US,CP2406
TX100253,CUST1073,2026-06-11 00:00:00,Cash Deposit,Debit,1827.3,US,CP1771
TX100254,CUST1036,2026-02-04 00:00:00,Cash Deposit,Credit,9535.71,GH,CP1089
TX100255,CUST1090,2026-02-28 00:00:00,ACH,Debit,654.21,GB,CP1043
TX100256,CUST1203,2026-03-02 00:00:00,Cash Deposit,Debit,1062.66,US,CP1290
TX100257,CUST1166,2026-03-21 00:00:00,Check,Credit,1250.37,CA,CP1798
TX100258,CUST1043,2026-07-28 00:00:00,P2P,Debit,324.1,US,CP2288
TX100259,CUST1196,2026-04-26 00:00:00,Cash Deposit,Debit,1076.15,US,CP1825
TX100260,CUST1178,2026-04-14 00:00:00,Card,Debit,899.75,US,CP2158
TX100261,CUST1264,2026-06-24 00:00:00,Wire,Credit,794.97,RU,CP2252
TX100262,CUST1093,2026-04-07 00:00:00,Cash Deposit,Debit,1639.35,CA,CP1518
TX100263,CUST1263,2026-04-03 00:00:00,Wire,Credit,8383.06,MX,CP1698
TX100264,CUST1197,2026-07-19 00:00:00,Cash Deposit,Credit,810.09,CA,CP1941
TX100265,CUST1075,2026-01-16 00:00:00,ACH,Debit,2705.27,CA,CP2215
TX100266,CUST1096,2026-01-15 00:00:00,Cash Withdrawal,Debit,1604.22,CA,CP1922
TX100267,CUST1223,2026-05-10 00:00:00,ACH,Debit,906.19,GB,CP1982
TX100268,CUST1207,2026-02-27 00:00:00,Cash Deposit,Debit,2668.86,CA,CP1228
TX100269,CUST1190,2026-04-24 00:00:00,Card,Credit,5311.54,US,CP1441
TX100270,CUST1120,2026-02-15 00:00:00,Card,Credit,2866.29,MX,CP2465
TX100271,CUST1115,2026-09-07 00:00:00,P2P,Debit,1733.78,CA,CP1150
TX100272,CUST1167,2026-05-07 00:00:00,Cash Deposit,Credit,2282.04,US,CP2203
TX100273,CUST1232,2026-05-26 00:00:00,ACH,Debit,807.8,SG,CP1501
TX100274,CUST1075,2026-04-27 00:00:00,Wire,Credit,3627.65,US,CP1132
TX100275,CUST1269,2026-01-12 00:00:00,Wire,Credit,1829.17,GB,CP1969
TX100276,CUST1059,2026-02-18 00:00:00,P2P,Credit,1053.0,NG,CP2499
TX100277,CUST1143,2026-06-10 00:00:00,Wire,Credit,62575.29,RU,CP1915
TX100278,CUST1092,2026-08-18 00:00:00,ACH,Debit,1825.1,US,CP1193
TX100279,CUST1274,2026-01-21 00:00:00,Cash Deposit,Debit,343.75,US,CP2245
TX100280,CUST1052,2026-02-19 00:00:00,P2P,Debit,784.57,US,CP2480
TX100281,CUST1038,2026-04-04 00:00:00,P2P,Debit,297.39,CA,CP1444
TX100282,CUST1205,2026-03-12 00:00:00,ACH,Credit,6057.84,MX,CP1428
TX100283,CUST1049,2026-01-09 00:00:00,Cash Withdrawal,Debit,6808.02,US,CP1713
TX100284,CUST1296,2026-08-27 00:00:00,Check,Credit,2036.78,US,CP1489
TX100285,CUST1229,2026-05-31 00:00:00,Card,Credit,459.25,RU,CP2423
TX100286,CUST1264,2026-03-15 00:00:00,Wire,Credit,1134.47,US,CP2422
TX100287,CUST1091,2026-02-13 00:00:00,Card,Credit,8201.89,US,CP1703
TX100288,CUST1223,2026-04-25 00:00:00,Check,Debit,2874.51,US,CP2018
TX100289,CUST1175,2026-08-25 00:00:00,Check,Credit,4478.32,RU,CP1732
TX100290,CUST1127,2026-07-03 00:00:00,Card,Credit,16013.01,MX,CP1498
TX100291,CUST1149,2026-02-18 00:00:00,ACH,Credit,10269.37,US,CP1234
TX100292,CUST1005,2026-04-16 00:00:00,Cash Deposit,Debit,4226.81,GB,CP1502
TX100293,CUST1043,2026-08-31 00:00:00,P2P,Debit,2002.88,US,CP1704
TX100294,CUST1037,2026-09-06 00:00:00,Card,Debit,958.24,GB,CP2152
TX100295,CUST1226,2026-08-17 00:00:00,Card,Credit,1407.44,US,CP1677
TX100296,CUST1080,2026-05-04 00:00:00,Cash Deposit,Credit,3097.19,RU,CP1617
TX100297,CUST1222,2026-05-10 00:00:00,Wire,Debit,4442.1,US,CP1671
TX100298,CUST1213,2026-03-02 00:00:00,P2P,Credit,2009.1,RU,CP2367
TX100299,CUST1043,2026-04-27 00:00:00,Wire,Debit,1474.86,US,CP2159
TX100300,CUST1097,2026-07-04 00:00:00,Cash Deposit,Debit,2679.49,US,CP2213
TX100301,CUST1077,2026-04-08 00:00:00,Card,Debit,10549.74,US,CP2282
TX100302,CUST1034,2026-08-19 00:00:00,Wire,Debit,2596.98,US,CP2117
TX100303,CUST1240,2026-07-07 00:00:00,Card,Debit,294.26,GB,CP1335
TX100304,CUST1111,2026-02-22 00:00:00,ACH,Debit,1481.59,MX,CP2365
TX100305,CUST1273,2026-02-16 00:00:00,ACH,Credit,1861.87,US,CP1532
TX100306,CUST1253,2026-05-13 00:00:00,Wire,Debit,4528.76,US,CP1965
TX100307,CUST1261,2026-03-30 00:00:00,P2P,Credit,492.6,US,CP1319
TX100308,CUST1222,2026-08-11 00:00:00,ACH,Debit,745.62,US,CP1089
TX100309,CUST1150,2026-01-15 00:00:00,Check,Debit,451.21,GH,CP1684
