alert_id,customer_id,scenario,alert_date,alert_amount,risk_score,recommended_action,disposition,risk_level
ALT0064,CUST1122,High-Risk Jurisdiction Wire,2026-07-17,76216.73,78,Escalate,Escalate to Case,Moderate
ALT0065,CUST1116,High-Risk Jurisdiction Wire,2026-01-16,74817.75,78,Escalate,Pending,High
ALT0066,CUST1143,High-Risk Jurisdiction Wire,2026-05-17,58066.24,76,Escalate,Pending,High
ALT0067,CUST1205,High-Risk Jurisdiction Wire,2026-07-06,75574.35,78,Escalate,Pending,High
ALT0068,CUST1102,High-Risk Jurisdiction Wire,2026-01-26,70185.5,77,Escalate,Pending,High
ALT0069,CUST1122,Unusual Volume Spike,2026-06-28,125406.15,95,Review,SAR Consideration,Moderate
ALT0070,CUST1014,Unusual Volume Spike,2026-04-28,106274.28,95,Review,Escalate to Case,Moderate
ALT0071,CUST1122,Unusual Volume Spike,2026-07-28,92802.9,95,Review,SAR Consideration,Moderate
ALT0072,CUST1187,Unusual Volume Spike,2026-07-28,101861.66,95,Review,Close - No Suspicion,Moderate
ALT0073,CUST1205,Unusual Volume Spike,2026-07-28,170304.02,95,Review,Escalate to Case,High
ALT0074,CUST1102,Unusual Volume Spike,2026-02-28,92259.96,95,Review,Escalate to Case,High
ALT0075,CUST1073,Unusual Volume Spike,2026-07-28,111994.63,95,Review,Pending,High
ALT0076,CUST1132,Unusual Volume Spike,2026-05-28,121879.82,95,Review,Pending,Moderate
ALT0077,CUST1014,Unusual Volume Spike,2026-06-28,83538.19,95,Review,Close - No Suspicion,Moderate
ALT0078,CUST1241,Unusual Volume Spike,2026-06-28,101748.16,95,Review,Pending,High
ALT0079,CUST1116,Unusual Volume Spike,2026-01-28,132928.6,95,Review,Close - No Suspicion,High
ALT0080,CUST1080,Unusual Volume Spike,2026-06-28,41515.63,95,Review,Pending,Moderate
ALT0081,CUST1102,Unusual Volume Spike,2026-01-28,76711.32,95,Review,Close - No Suspicion,High
ALT0082,CUST1294,Unusual Volume Spike,2026-05-28,39076.19,95,Review,Close - No Suspicion,High
ALT0083,CUST1014,Unusual Volume Spike,2026-07-28,75934.17,95,Review,Escalate to Case,Moderate
ALT0084,CUST1155,Unusual Volume Spike,2026-07-28,85272.18,95,Review,Pending,Moderate
ALT0085,CUST1055,Unusual Volume Spike,2026-03-28,39266.6,95,Review,Escalate to Case,High
ALT0086,CUST1252,Unusual Volume Spike,2026-01-28,110610.87,95,Review,SAR Consideration,High
ALT0087,CUST1170,Unusual Volume Spike,2026-07-28,85771.85,95,Review,Close - No Suspicion,Moderate
ALT0088,CUST1230,Unusual Volume Spike,2026-08-28,25502.29,95,Review,Close - No Suspicion,High
ALT0089,CUST1122,Unusual Volume Spike,2026-01-28,53828.41,95,Review,Pending,Moderate
ALT0090,CUST1102,Unusual Volume Spike,2026-07-28,60245.13,95,Review,Escalate to Case,High
ALT0091,CUST1116,Unusual Volume Spike,2026-03-28,99253.33,95,Review,Pending,High
ALT0092,CUST1108,Unusual Volume Spike,2026-07-28,105395.73,95,Review,Pending,High
ALT0093,CUST1132,Unusual Volume Spike,2026-02-28,83805.43,95,Review,Close - No Suspicion,Moderate
ALT0094,CUST1133,Unusual Volume Spike,2026-08-28,20363.44,95,Review,Close - No Suspicion,High
ALT0095,CUST1143,Unusual Volume Spike,2026-06-28,142720.62,95,Review,Close - No Suspicion,High
ALT0096,CUST1029,Unusual Volume Spike,2026-01-28,42258.84,95,Review,Escalate to Case,High
ALT0097,CUST1205,Unusual Volume Spike,2026-05-28,95910.19,95,Review,Escalate to Case,High
ALT0098,CUST1055,Unusual Volume Spike,2026-07-28,30300.53,95,Review,Close - No Suspicion,High
ALT0099,CUST1041,Unusual Volume Spike,2026-07-28,51602.27,95,Review,Close - No Suspicion,Moderate
ALT0100,CUST1055,Unusual Volume Spike,2026-06-28,29431.92,95,Review,Close - No Suspicion,High
ALT0101,CUST1029,Unusual Volume Spike,2026-08-28,39875.91,95,Review,Pending,High
ALT0102,CUST1133,Unusual Volume Spike,2026-06-28,18940.78,95,Review,Close - No Suspicion,High
ALT0103,CUST1233,Unusual Volume Spike,2026-03-28,81964.89,95,Review,Escalate to Case,Moderate
ALT0104,CUST1037,Unusual Volume Spike,2026-07-28,88604.77,95,Review,Close - No Suspicion,Moderate
ALT0105,CUST1149,Unusual Volume Spike,2026-07-28,31385.12,95,Review,Escalate to Case,Moderate
ALT0106,CUST1132,Unusual Volume Spike,2026-06-28,70132.34,95,Review,Close - No Suspicion,Moderate
ALT0107,CUST1274,Unusual Volume Spike,2026-02-28,28822.78,95,Review,Close - No Suspicion,High
ALT0108,CUST1102,Unusual Volume Spike,2026-09-28,46899.85,95,Review,Escalate to Case,High
ALT0109,CUST1274,Unusual Volume Spike,2026-05-28,27989.8,95,Review,Close - No Suspicion,High
ALT0110,CUST1205,Unusual Volume Spike,2026-06-28,82030.33,95,Review,Pending,High
ALT0111,CUST1079,Unusual Volume Spike,2026-07-28,91955.67,95,Review,Pending,High
ALT0112,CUST1021,Unusual Volume Spike,2026-01-28,44319.16,95,Review,Escalate to Case,High
ALT0113,CUST1149,Unusual Volume Spike,2026-05-28,29388.62,95,Review,Pending,Moderate
ALT0114,CUST1278,Unusual Volume Spike,2026-07-28,33635.01,95,Review,SAR Consideration,Moderate
ALT0115,CUST1116,Unusual Volume Spike,2026-09-28,74733.65,95,Review,Escalate to Case,High
ALT0116,CUST1230,Unusual Volume Spike,2026-06-28,17354.1,95,Review,Pending,High
ALT0117,CUST1069,Unusual Volume Spike,2026-08-28,18902.96,95,Review,Pending,Moderate
ALT0118,CUST1187,Unusual Volume Spike,2026-02-28,43929.9,95,Review,Pending,Moderate
ALT0119,CUST1014,Unusual Volume Spike,2026-03-28,42597.8,95,Review,Escalate to Case,Moderate
ALT0120,CUST1230,Unusual Volume Spike,2026-04-28,16820.46,95,Review,SAR Consideration,High
ALT0121,CUST1080,Unusual Volume Spike,2026-07-28,22561.09,95,Review,Close - No Suspicion,Moderate
ALT0122,CUST1178,Unusual Volume Spike,2026-03-28,42653.05,95,Review,Close - No Suspicion,Critical
ALT0123,CUST1051,Unusual Volume Spike,2026-07-28,29535.77,95,Review,SAR Consideration,Moderate
ALT0124,CUST1093,Unusual Volume Spike,2026-01-28,41492.0,95,Review,Close - No Suspicion,Moderate
ALT0125,CUST1265,Unusual Volume Spike,2026-03-28,93913.48,95,Review,Close - No Suspicion,High
ALT0126,CUST1259,Unusual Volume Spike,2026-02-28,38683.63,95,Review,Pending,Moderate
ALT0127,CUST1029,Unusual Volume Spike,2026-03-28,31894.11,95,Review,Escalate to Case,High
ALT0128,CUST1227,Unusual Volume Spike,2026-04-28,39859.93,95,Review,Close - No Suspicion,Moderate
ALT0129,CUST1252,Unusual Volume Spike,2026-08-28,66384.04,95,Review,Escalate to Case,High
ALT0130,CUST1059,Unusual Volume Spike,2026-08-28,21669.5,95,Review,Escalate to Case,Moderate
ALT0131,CUST1230,Unusual Volume Spike,2026-05-28,15752.04,95,Review,Close - No Suspicion,High
ALT0132,CUST1029,Unusual Volume Spike,2026-07-28,30277.76,95,Review,Escalate to Case,High
ALT0133,CUST1115,Unusual Volume Spike,2026-06-28,28573.24,95,Review,Close - No Suspicion,High
ALT0134,CUST1033,Unusual Volume Spike,2026-04-28,32772.83,95,Review,Close - No Suspicion,High
ALT0135,CUST1227,Unusual Volume Spike,2026-06-28,37241.84,95,Review,Close - No Suspicion,Moderate
ALT0136,CUST1133,Unusual Volume Spike,2026-07-28,13981.59,95,Review,Escalate to Case,High
ALT0137,CUST1081,Unusual Volume Spike,2026-02-28,28124.95,95,Review,Pending,High
ALT0138,CUST1258,Unusual Volume Spike,2026-07-28,27773.98,95,Review,Close - No Suspicion,Moderate
ALT0139,CUST1140,Unusual Volume Spike,2026-01-28,32389.79,95,Review,Pending,Moderate
ALT0140,CUST1143,Unusual Volume Spike,2026-05-28,97921.62,95,Review,Close - No Suspicion,High
ALT0141,CUST1059,Unusual Volume Spike,2026-03-28,20366.5,95,Review,Pending,Moderate
ALT0142,CUST1268,Unusual Volume Spike,2026-02-28,66382.45,95,Review,Close - No Suspicion,High
ALT0143,CUST1252,Unusual Volume Spike,2026-04-28,60186.14,95,Review,Escalate to Case,High
ALT0144,CUST1133,Unusual Volume Spike,2026-04-28,13507.83,95,Review,Escalate to Case,High
ALT0145,CUST1212,Unusual Volume Spike,2026-03-28,23956.44,95,Review,Pending,High
ALT0146,CUST1265,Unusual Volume Spike,2026-06-28,82567.31,95,Review,Close - No Suspicion,High
ALT0147,CUST1025,Unusual Volume Spike,2026-06-28,35324.17,95,Review,Pending,High
ALT0148,CUST1294,Unusual Volume Spike,2026-02-28,18305.89,95,Review,Escalate to Case,High
ALT0149,CUST1027,Unusual Volume Spike,2026-07-28,23850.04,95,Review,Close - No Suspicion,Moderate
ALT0150,CUST1274,Unusual Volume Spike,2026-03-28,21296.13,95,Review,SAR Consideration,High
ALT0151,CUST1133,Unusual Volume Spike,2026-02-28,12928.89,95,Review,Escalate to Case,High
ALT0152,CUST1258,Unusual Volume Spike,2026-06-28,25740.23,95,Review,Close - No Suspicion,Moderate
ALT0153,CUST1069,Unusual Volume Spike,2026-07-28,15086.11,95,Review,Escalate to Case,Moderate
ALT0154,CUST1130,Unusual Volume Spike,2026-07-28,28937.83,95,Review,Escalate to Case,Moderate
ALT0155,CUST1152,Unusual Volume Spike,2026-08-28,41845.56,95,Review,Pending,Moderate
ALT0156,CUST1115,Unusual Volume Spike,2026-02-28,25075.01,95,Review,Pending,High
ALT0157,CUST1044,Unusual Volume Spike,2026-01-28,31165.83,95,Review,Close - No Suspicion,Moderate
ALT0158,CUST1258,Unusual Volume Spike,2026-08-28,24719.33,95,Review,Close - No Suspicion,Moderate
ALT0159,CUST1037,Rapid Movement / Velocity,2026-07-15,78291.72,82,Escalate,Close - No Suspicion,Moderate
ALT0160,CUST1062,Rapid Movement / Velocity,2026-07-15,90016.43,82,Escalate,Pending,High
ALT0161,CUST1070,Rapid Movement / Velocity,2026-07-15,98514.73,82,Escalate,Close - No Suspicion,Moderate
ALT0162,CUST1073,Rapid Movement / Velocity,2026-07-15,85036.76,82,Escalate,Close - No Suspicion,High
ALT0163,CUST1079,Rapid Movement / Velocity,2026-07-15,71408.34,82,Escalate,Escalate to Case,High
ALT0164,CUST1108,Rapid Movement / Velocity,2026-07-15,84489.38,82,Escalate,Pending,High
ALT0165,CUST1129,Rapid Movement / Velocity,2026-07-15,81090.7,82,Escalate,Close - No Suspicion,High
ALT0166,CUST1155,Rapid Movement / Velocity,2026-07-15,79781.84,82,Escalate,Escalate to Case,Moderate
ALT0167,CUST1159,Rapid Movement / Velocity,2026-02-10,30617.9,82,Escalate,Pending,High
ALT0168,CUST1187,Rapid Movement / Velocity,2026-07-15,80317.19,82,Escalate,Escalate to Case,Moderate
ALT0169,CUST1239,Rapid Movement / Velocity,2026-07-15,83790.33,82,Escalate,Pending,Moderate
