transaction_id,customer_id,transaction_date,channel,direction,amount,counterparty_country,counterparty_id,customer_name,customer_type,country,occupation_industry,kyc_risk,pep_flag,expected_monthly_volume,account_open_date,month,is_cross_border,is_high_risk_country,is_cash,is_wire
TX100014,CUST1233,2026-02-24 00:00:00,P2P,Credit,131.76,US,CP2024,Customer 234,Business,NG,Retail,Low,0,2705.64,2024-07-26,2026-02,0,0,0,0
TX100015,CUST1147,2026-08-21 00:00:00,Card,Debit,2217.26,MX,CP1163,Customer 148,Individual,GB,Logistics,Low,0,2286.49,2021-06-15,2026-08,1,0,0,0
TX100016,CUST1011,2026-06-04 00:00:00,Cash Withdrawal,Credit,1096.88,MX,CP2496,Customer 12,Individual,US,Healthcare,Medium,0,5178.95,2020-09-27,2026-06,1,0,1,0
TX100017,CUST1084,2026-04-01 00:00:00,Wire,Debit,1499.56,GB,CP1150,Customer 85,Business,US,Student,Low,0,3271.85,2019-03-28,2026-04,1,0,0,1
TX100018,CUST1093,2026-05-13 00:00:00,Check,Debit,559.81,US,CP1560,Customer 94,Individual,GB,Finance,Low,0,1624.44,2023-08-18,2026-05,0,0,0,0
TX100019,CUST1104,2026-05-04 00:00:00,Wire,Debit,481.8,SY,CP1917,Customer 105,Business,US,Student,High,0,16908.69,2023-04-29,2026-05,1,1,0,1
TX100020,CUST1176,2026-02-25 00:00:00,Card,Debit,2408.23,US,CP2474,Customer 177,Individual,CA,Student,Medium,0,2809.19,2020-10-13,2026-02,0,0,0,0
TX100021,CUST1289,2026-01-27 00:00:00,Card,Debit,2925.29,AE,CP2039,Customer 290,Business,CA,Logistics,Low,0,7459.02,2019-12-10,2026-01,1,0,0,0
TX100022,CUST1044,2026-09-04 00:00:00,P2P,Debit,1197.17,US,CP1068,Customer 45,Individual,US,Consulting,Low,0,1492.78,2023-07-19,2026-09,0,0,0,0
TX100023,CUST1102,2026-03-11 00:00:00,Cash Deposit,Credit,1115.48,US,CP1900,Customer 103,Individual,US,Education,Low,0,1630.59,2019-06-13,2026-03,0,0,1,0
TX100024,CUST1080,2026-08-24 00:00:00,ACH,Credit,2582.07,US,CP1720,Customer 81,Individual,US,Student,Medium,0,869.75,2022-05-26,2026-08,0,0,0,0
TX100025,CUST1173,2026-04-14 00:00:00,Cash Withdrawal,Credit,8994.67,US,CP1052,Customer 174,Individual,US,Logistics,Low,1,2815.89,2022-11-15,2026-04,0,0,1,0
TX100026,CUST1244,2026-04-19 00:00:00,ACH,Credit,1778.17,US,CP1500,Customer 245,Individual,GB,Finance,High,0,6828.62,2024-06-26,2026-04,0,0,0,0
TX100027,CUST1283,2026-08-12 00:00:00,Check,Credit,1217.84,CA,CP1039,Customer 284,Individual,US,Student,Low,0,5556.08,2019-08-18,2026-08,1,0,0,0
TX100028,CUST1152,2026-06-04 00:00:00,Cash Deposit,Credit,956.18,US,CP1810,Customer 153,Individual,GH,Retail,High,0,1972.74,2023-07-21,2026-06,0,0,1,0
TX100029,CUST1089,2026-05-27 00:00:00,Cash Deposit,Credit,2235.66,US,CP1825,Customer 90,Individual,NG,Retail,Medium,0,7988.71,2024-07-08,2026-05,0,0,1,0
TX100030,CUST1065,2026-01-22 00:00:00,Check,Debit,1026.24,US,CP2358,Customer 66,Individual,US,Technology,Medium,0,4012.83,2021-07-16,2026-01,0,0,0,0
TX100031,CUST1242,2026-07-22 00:00:00,Card,Debit,1677.65,US,CP1270,Customer 243,Individual,CA,Logistics,Medium,0,3483.15,2023-10-26,2026-07,0,0,0,0
TX100032,CUST1013,2026-03-30 00:00:00,Wire,Credit,2377.23,GB,CP1827,Customer 14,Individual,GB,Retail,Low,0,8680.52,2021-05-22,2026-03,1,0,0,1
TX100033,CUST1034,2026-08-02 00:00:00,Check,Credit,679.49,MX,CP2338,Customer 35,Individual,MX,Technology,Medium,0,2340.83,2021-11-22,2026-08,1,0,0,0
TX100034,CUST1018,2026-07-20 00:00:00,Check,Credit,4729.2,US,CP1352,Customer 19,Individual,US,Technology,Medium,0,4771.38,2022-10-12,2026-07,0,0,0,0
TX100035,CUST1219,2026-01-23 00:00:00,ACH,Credit,12042.6,US,CP1976,Customer 220,Individual,CA,Finance,Medium,0,9665.04,2019-07-02,2026-01,0,0,0,0
TX100036,CUST1255,2026-06-08 00:00:00,Cash Deposit,Credit,639.54,US,CP2229,Customer 256,Individual,US,Student,Low,0,3322.09,2022-09-22,2026-06,0,0,1,0
TX100037,CUST1242,2026-03-20 00:00:00,Cash Deposit,Credit,3251.25,US,CP1695,Customer 243,Individual,CA,Logistics,Medium,0,3483.15,2023-10-26,2026-03,0,0,1,0
TX100038,CUST1082,2026-05-29 00:00:00,Cash Withdrawal,Credit,224.18,GB,CP1909,Customer 83,Individual,US,Consulting,Low,0,3865.17,2020-10-02,2026-05,1,0,1,0
TX100039,CUST1251,2026-07-28 00:00:00,P2P,Credit,3050.08,US,CP2328,Customer 252,Individual,CA,Healthcare,High,0,1709.76,2023-05-15,2026-07,0,0,0,0
TX100040,CUST1001,2026-07-24 00:00:00,Cash Deposit,Credit,201.77,NG,CP1204,Customer 2,Business,US,Logistics,Medium,0,1453.54,2020-10-15,2026-07,1,0,1,0
TX100041,CUST1292,2026-07-08 00:00:00,P2P,Credit,5551.65,US,CP2160,Customer 293,Individual,MX,Logistics,Low,0,4220.81,2021-11-14,2026-07,0,0,0,0
TX100042,CUST1179,2026-02-12 00:00:00,P2P,Credit,3666.09,SG,CP1040,Customer 180,Individual,US,Student,High,0,10603.87,2021-09-09,2026-02,1,0,0,0
TX100043,CUST1213,2026-05-22 00:00:00,Cash Deposit,Debit,218.47,AE,CP1287,Customer 214,Individual,GB,Hospitality,Low,0,7064.17,2020-05-02,2026-05,1,0,1,0
TX100044,CUST1029,2026-04-30 00:00:00,ACH,Debit,735.59,AE,CP1488,Customer 30,Individual,US,Technology,Low,0,1257.85,2020-12-05,2026-04,1,0,0,0
TX100045,CUST1293,2026-04-11 00:00:00,Wire,Debit,172.42,US,CP1198,Customer 294,Individual,US,Consulting,Low,0,7339.11,2022-08-26,2026-04,0,0,0,1
TX100046,CUST1117,2026-05-28 00:00:00,Cash Deposit,Debit,9969.65,SG,CP2429,Customer 118,Individual,US,Retail,Low,0,1444.45,2022-01-16,2026-05,1,0,1,0
TX100047,CUST1083,2026-05-05 00:00:00,P2P,Debit,6893.41,NG,CP2444,Customer 84,Individual,US,Consulting,Medium,0,1911.4,2021-09-26,2026-05,1,0,0,0
TX100048,CUST1255,2026-07-16 00:00:00,Wire,Credit,1680.28,US,CP2483,Customer 256,Individual,US,Student,Low,0,3322.09,2022-09-22,2026-07,0,0,0,1
TX100049,CUST1156,2026-01-04 00:00:00,Wire,Credit,412.54,US,CP2314,Customer 157,Individual,US,Construction,Low,0,2903.4,2024-06-02,2026-01,0,0,0,1
TX100050,CUST1039,2026-08-16 00:00:00,ACH,Debit,1636.69,NG,CP1425,Customer 40,Individual,US,Finance,Low,0,2922.04,2025-02-23,2026-08,1,0,0,0
TX100051,CUST1064,2026-02-02 00:00:00,P2P,Credit,1625.43,MX,CP2420,Customer 65,Individual,CA,Hospitality,Low,0,6897.82,2020-12-22,2026-02,1,0,0,0
TX100052,CUST1109,2026-04-25 00:00:00,Wire,Debit,4457.59,NG,CP2157,Customer 110,Individual,NG,Construction,Low,0,6129.75,2022-11-07,2026-04,1,0,0,1
TX100053,CUST1025,2026-03-30 00:00:00,Cash Deposit,Credit,12365.56,GH,CP1053,Customer 26,Individual,US,Logistics,Low,0,1599.0,2019-01-30,2026-03,1,0,1,0
TX100054,CUST1152,2026-03-29 00:00:00,Card,Debit,4143.48,US,CP1458,Customer 153,Individual,GH,Retail,High,0,1972.74,2023-07-21,2026-03,0,0,0,0
TX100055,CUST1131,2026-02-05 00:00:00,P2P,Debit,4200.48,CA,CP1687,Customer 132,Individual,US,Education,Medium,0,9648.74,2020-09-27,2026-02,1,0,0,0
TX100056,CUST1194,2026-05-22 00:00:00,Wire,Credit,1376.42,US,CP1382,Customer 195,Individual,CA,Hospitality,Low,0,4775.8,2020-04-09,2026-05,0,0,0,1
TX100057,CUST1215,2026-02-27 00:00:00,Wire,Credit,1097.65,US,CP2148,Customer 216,Individual,US,Construction,Low,0,3380.0,2019-02-02,2026-02,0,0,0,1
TX100058,CUST1040,2026-05-29 00:00:00,P2P,Credit,3642.66,NG,CP1759,Customer 41,Individual,US,Consulting,High,0,1717.24,2024-07-28,2026-05,1,0,0,0
TX100059,CUST1233,2026-07-21 00:00:00,Card,Debit,1371.05,US,CP1622,Customer 234,Business,NG,Retail,Low,0,2705.64,2024-07-26,2026-07,0,0,0,0
TX100060,CUST1246,2026-01-01 00:00:00,ACH,Debit,871.76,AE,CP1826,Customer 247,Individual,US,Finance,Medium,0,3761.58,2024-09-07,2026-01,1,0,0,0
TX100061,CUST1005,2026-07-12 00:00:00,Cash Deposit,Debit,417.63,MX,CP1701,Customer 6,Business,US,Retail,Low,0,3156.31,2022-05-27,2026-07,1,0,1,0
TX100062,CUST1228,2026-08-09 00:00:00,ACH,Debit,392.1,US,CP1717,Customer 229,Business,US,Retail,Low,0,5692.6,2021-08-15,2026-08,0,0,0,0
TX100063,CUST1282,2026-07-02 00:00:00,ACH,Credit,651.82,GB,CP1355,Customer 283,Individual,US,Hospitality,Medium,0,1704.82,2023-02-07,2026-07,1,0,0,0
TX100064,CUST1117,2026-07-18 00:00:00,P2P,Credit,402.83,US,CP2407,Customer 118,Individual,US,Retail,Low,0,1444.45,2022-01-16,2026-07,0,0,0,0
TX100065,CUST1074,2026-05-22 00:00:00,Cash Deposit,Credit,352.04,US,CP1823,Customer 75,Individual,US,Hospitality,Medium,0,9451.01,2024-05-27,2026-05,0,0,1,0
TX100066,CUST1165,2026-03-28 00:00:00,Cash Deposit,Debit,1075.27,IR,CP2262,Customer 166,Individual,US,Retail,Low,0,7103.79,2025-04-03,2026-03,1,1,1,0
TX100067,CUST1087,2026-08-19 00:00:00,Card,Credit,407.97,US,CP1477,Customer 88,Individual,NG,Consulting,Medium,0,8462.99,2020-01-04,2026-08,0,0,0,0
TX100068,CUST1062,2026-07-15 03:00:00,ACH,Debit,11714.12,US,CP1835,Customer 63,Individual,US,Healthcare,High,0,6782.03,2025-02-20,2026-07,0,0,0,0
TX100069,CUST1249,2026-02-27 00:00:00,ACH,Debit,1437.36,US,CP1079,Customer 250,Individual,US,Education,Low,0,13237.67,2024-09-13,2026-02,0,0,0,0
TX100070,CUST1180,2026-06-21 00:00:00,ACH,Credit,1677.8,US,CP1393,Customer 181,Business,US,Student,Low,0,5062.12,2024-10-06,2026-06,0,0,0,0
TX100071,CUST1268,2026-06-05 00:00:00,ACH,Credit,326.2,US,CP1157,Customer 269,Individual,US,Consulting,Low,0,2872.97,2021-03-07,2026-06,0,0,0,0
TX100072,CUST1214,2026-08-01 00:00:00,Cash Withdrawal,Credit,2608.1,US,CP2097,Customer 215,Individual,GH,Consulting,Low,1,4656.53,2022-07-28,2026-08,0,0,1,0
TX100073,CUST1220,2026-04-16 00:00:00,Wire,Debit,373.76,US,CP1493,Customer 221,Business,US,Logistics,Low,0,3192.74,2020-04-13,2026-04,0,0,0,1
TX100074,CUST1235,2026-03-01 00:00:00,P2P,Credit,721.52,MX,CP2198,Customer 236,Individual,US,Hospitality,Low,0,1725.76,2025-02-08,2026-03,1,0,0,0
TX100075,CUST1099,2026-08-24 00:00:00,ACH,Credit,1831.96,US,CP2096,Customer 100,Individual,US,Student,Low,0,4216.76,2020-04-28,2026-08,0,0,0,0
TX100076,CUST1039,2026-08-19 00:00:00,ACH,Debit,526.06,GH,CP1705,Customer 40,Individual,US,Finance,Low,0,2922.04,2025-02-23,2026-08,1,0,0,0
TX100077,CUST1138,2026-03-27 00:00:00,P2P,Credit,14133.46,SY,CP1865,Customer 139,Individual,US,Technology,Medium,0,3167.11,2022-07-05,2026-03,1,1,0,0
TX100078,CUST1291,2026-02-11 00:00:00,ACH,Credit,1909.96,US,CP2158,Customer 292,Individual,US,Retail,Low,0,2985.68,2022-11-22,2026-02,0,0,0,0
TX100079,CUST1250,2026-03-01 00:00:00,Cash Withdrawal,Debit,1596.35,US,CP1652,Customer 251,Individual,US,Consulting,Medium,0,3658.49,2019-05-12,2026-03,0,0,1,0
TX100080,CUST1216,2026-02-26 00:00:00,ACH,Debit,4827.45,US,CP2228,Customer 217,Business,US,Healthcare,Low,0,9086.64,2025-06-13,2026-02,0,0,0,0
TX100081,CUST1107,2026-07-12 00:00:00,Check,Debit,155.87,US,CP2094,Customer 108,Individual,NG,Education,High,0,5757.04,2019-08-11,2026-07,0,0,0,0
TX100082,CUST1063,2026-06-04 00:00:00,Card,Credit,4437.91,US,CP2281,Customer 64,Individual,US,Logistics,Low,0,8121.16,2023-08-14,2026-06,0,0,0,0
TX100083,CUST1241,2026-07-22 00:00:00,ACH,Credit,473.33,RU,CP1154,Customer 242,Individual,CA,Healthcare,Low,0,2019.1,2024-12-01,2026-07,1,1,0,0
TX100084,CUST1131,2026-01-17 00:00:00,Check,Debit,539.07,US,CP1189,Customer 132,Individual,US,Education,Medium,0,9648.74,2020-09-27,2026-01,0,0,0,0
TX100085,CUST1234,2026-06-29 00:00:00,Cash Withdrawal,Debit,145.39,GB,CP2150,Customer 235,Individual,GB,Finance,Medium,0,10178.25,2025-02-03,2026-06,1,0,1,0
TX100086,CUST1063,2026-04-01 00:00:00,P2P,Credit,3752.77,US,CP2488,Customer 64,Individual,US,Logistics,Low,0,8121.16,2023-08-14,2026-04,0,0,0,0
TX100087,CUST1140,2026-07-15 00:00:00,Card,Debit,1200.71,US,CP2032,Customer 141,Individual,US,Hospitality,Low,0,1388.34,2022-12-21,2026-07,0,0,0,0
TX100088,CUST1239,2026-06-02 00:00:00,Cash Deposit,Debit,246.89,US,CP2202,Customer 240,Business,US,Hospitality,Low,0,10199.31,2021-04-24,2026-06,0,0,1,0
TX100089,CUST1268,2026-02-17 00:00:00,Cash Deposit,Credit,1129.26,GB,CP1669,Customer 269,Individual,US,Consulting,Low,0,2872.97,2021-03-07,2026-02,1,0,1,0
TX100090,CUST1013,2026-07-13 00:00:00,Wire,Debit,4512.01,US,CP1707,Customer 14,Individual,GB,Retail,Low,0,8680.52,2021-05-22,2026-07,0,0,0,1
TX100091,CUST1115,2026-06-01 00:00:00,P2P,Credit,516.22,US,CP1416,Customer 116,Individual,GB,Education,Low,0,1189.38,2024-02-19,2026-06,0,0,0,0
TX100092,CUST1080,2026-08-03 00:00:00,ACH,Debit,1642.14,US,CP2323,Customer 81,Individual,US,Student,Medium,0,869.75,2022-05-26,2026-08,0,0,0,0
TX100093,CUST1224,2026-05-15 00:00:00,P2P,Debit,447.16,US,CP1061,Customer 225,Individual,US,Logistics,Low,0,10228.77,2020-01-28,2026-05,0,0,0,0
TX100094,CUST1233,2026-08-18 00:00:00,P2P,Credit,1035.24,US,CP1510,Customer 234,Business,NG,Retail,Low,0,2705.64,2024-07-26,2026-08,0,0,0,0
TX100095,CUST1191,2026-08-16 00:00:00,P2P,Credit,9975.47,US,CP1464,Customer 192,Individual,US,Hospitality,Low,0,5987.25,2024-10-26,2026-08,0,0,0,0
TX100096,CUST1223,2026-07-27 00:00:00,P2P,Credit,1306.39,CA,CP1455,Customer 224,Individual,US,Healthcare,Low,0,2705.68,2023-07-09,2026-07,1,0,0,0
TX100097,CUST1099,2026-04-10 00:00:00,Wire,Debit,655.39,MX,CP1234,Customer 100,Individual,US,Student,Low,0,4216.76,2020-04-28,2026-04,1,0,0,1
TX100098,CUST1017,2026-08-09 00:00:00,P2P,Credit,4651.62,SG,CP1844,Customer 18,Individual,US,Student,Low,0,6463.27,2021-11-15,2026-08,1,0,0,0
TX100099,CUST1159,2026-03-03 00:00:00,Cash Deposit,Debit,198.2,US,CP2011,Customer 160,Individual,US,Logistics,Low,0,5942.26,2021-12-19,2026-03,0,0,1,0
TX100100,CUST1006,2026-08-30 00:00:00,P2P,Debit,1351.72,US,CP1495,Customer 7,Individual,US,Hospitality,Low,0,1271.07,2020-10-15,2026-08,0,0,0,0
TX100101,CUST1181,2026-03-18 00:00:00,Wire,Debit,3030.1,US,CP1902,Customer 182,Individual,US,Retail,Low,0,11646.58,2022-12-02,2026-03,0,0,0,1
TX100102,CUST1181,2026-03-21 00:00:00,Wire,Credit,236.05,NG,CP2207,Customer 182,Individual,US,Retail,Low,0,11646.58,2022-12-02,2026-03,1,0,0,1
TX100103,CUST1161,2026-05-09 00:00:00,P2P,Debit,2494.67,MX,CP1511,Customer 162,Business,GB,Technology,Medium,0,2501.57,2021-09-24,2026-05,1,0,0,0
TX100104,CUST1253,2026-02-17 00:00:00,ACH,Debit,13871.72,US,CP1688,Customer 254,Individual,US,Logistics,Low,0,5916.1,2020-07-10,2026-02,0,0,0,0
TX100105,CUST1033,2026-09-03 00:00:00,Card,Credit,6770.95,US,CP1211,Customer 34,Individual,US,Education,High,0,1375.55,2021-05-09,2026-09,0,0,0,0
TX100106,CUST1121,2026-04-26 00:00:00,Card,Debit,462.76,US,CP1426,Customer 122,Individual,NG,Education,Low,0,4888.33,2022-03-15,2026-04,0,0,0,0
TX100107,CUST1297,2026-06-24 00:00:00,Cash Withdrawal,Credit,2408.15,US,CP2130,Customer 298,Business,GB,Logistics,Medium,0,1764.52,2021-01-06,2026-06,0,0,1,0
TX100108,CUST1076,2026-08-11 00:00:00,Wire,Debit,737.08,US,CP1491,Customer 77,Business,US,Retail,Low,0,10001.17,2024-07-26,2026-08,0,0,0,1
TX100109,CUST1289,2026-06-30 00:00:00,Wire,Credit,801.41,SG,CP1973,Customer 290,Business,CA,Logistics,Low,0,7459.02,2019-12-10,2026-06,1,0,0,1
TX100110,CUST1000,2026-02-02 00:00:00,ACH,Debit,7554.27,US,CP2073,Customer 1,Individual,CA,Consulting,Low,0,4304.87,2024-01-24,2026-02,0,0,0,0
TX100111,CUST1011,2026-04-27 00:00:00,P2P,Credit,1577.53,US,CP2337,Customer 12,Individual,US,Healthcare,Medium,0,5178.95,2020-09-27,2026-04,0,0,0,0
TX100112,CUST1063,2026-06-15 00:00:00,Check,Debit,1294.32,GB,CP1171,Customer 64,Individual,US,Logistics,Low,0,8121.16,2023-08-14,2026-06,1,0,0,0
TX100113,CUST1283,2026-04-10 00:00:00,ACH,Credit,1328.89,GB,CP2256,Customer 284,Individual,US,Student,Low,0,5556.08,2019-08-18,2026-04,1,0,0,0
TX100114,CUST1193,2026-07-15 00:00:00,ACH,Credit,407.78,US,CP1377,Customer 194,Individual,US,Student,High,0,2355.03,2025-03-17,2026-07,0,0,0,0
TX100115,CUST1159,2026-08-21 00:00:00,Cash Deposit,Debit,325.16,MX,CP1712,Customer 160,Individual,US,Logistics,Low,0,5942.26,2021-12-19,2026-08,1,0,1,0
TX100116,CUST1036,2026-05-03 00:00:00,Check,Credit,948.86,GB,CP2029,Customer 37,Individual,NG,Technology,High,0,3162.43,2024-10-27,2026-05,1,0,0,0
TX100117,CUST1037,2026-04-23 00:00:00,ACH,Debit,1695.45,US,CP1627,Customer 38,Individual,US,Consulting,Low,0,2943.78,2024-12-02,2026-04,0,0,0,0
TX100118,CUST1257,2026-06-16 00:00:00,ACH,Debit,1224.6,US,CP1336,Customer 258,Individual,US,Technology,Low,0,3699.59,2021-01-09,2026-06,0,0,0,0
TX100119,CUST1246,2026-02-01 00:00:00,Cash Deposit,Debit,6904.83,US,CP1860,Customer 247,Individual,US,Finance,Medium,0,3761.58,2024-09-07,2026-02,0,0,1,0
TX100120,CUST1017,2026-05-26 00:00:00,Wire,Debit,2705.85,US,CP1975,Customer 18,Individual,US,Student,Low,0,6463.27,2021-11-15,2026-05,0,0,0,1
TX100121,CUST1129,2026-07-15 00:00:00,Wire,Credit,800.02,US,CP1617,Customer 130,Individual,US,Construction,High,0,9435.69,2020-12-09,2026-07,0,0,0,1
TX100122,CUST1163,2026-02-21 00:00:00,Cash Withdrawal,Credit,1069.51,RU,CP2185,Customer 164,Individual,US,Hospitality,Low,0,4374.38,2020-07-27,2026-02,1,1,1,0
TX100123,CUST1213,2026-02-20 00:00:00,ACH,Credit,10156.92,US,CP1642,Customer 214,Individual,GB,Hospitality,Low,0,7064.17,2020-05-02,2026-02,0,0,0,0
TX100124,CUST1002,2026-04-24 00:00:00,ACH,Debit,7541.68,US,CP2312,Customer 3,Individual,GB,Student,Low,0,9230.29,2021-05-27,2026-04,0,0,0,0
TX100125,CUST1248,2026-04-08 00:00:00,Cash Deposit,Credit,2869.25,NG,CP1616,Customer 249,Business,US,Retail,High,0,2473.69,2020-04-28,2026-04,1,0,1,0
TX100126,CUST1157,2026-06-02 00:00:00,Check,Credit,396.46,MX,CP2280,Customer 158,Individual,US,Logistics,High,0,2606.46,2021-10-28,2026-06,1,0,0,0
TX100127,CUST1161,2026-06-03 00:00:00,ACH,Credit,578.85,NG,CP2203,Customer 162,Business,GB,Technology,Medium,0,2501.57,2021-09-24,2026-06,1,0,0,0
TX100128,CUST1107,2026-07-10 00:00:00,ACH,Credit,886.07,GH,CP1717,Customer 108,Individual,NG,Education,High,0,5757.04,2019-08-11,2026-07,1,0,0,0
TX100129,CUST1014,2026-07-27 00:00:00,ACH,Credit,2039.24,US,CP1487,Customer 15,Individual,US,Student,Low,0,1631.94,2021-10-11,2026-07,0,0,0,0
TX100130,CUST1279,2026-06-16 00:00:00,ACH,Debit,1811.56,RU,CP1521,Customer 280,Business,US,Healthcare,Low,0,2872.61,2020-12-09,2026-06,1,1,0,0
TX100131,CUST1246,2026-01-02 00:00:00,ACH,Credit,2524.69,US,CP2072,Customer 247,Individual,US,Finance,Medium,0,3761.58,2024-09-07,2026-01,0,0,0,0
TX100132,CUST1248,2026-07-31 00:00:00,Wire,Debit,163.75,AE,CP1588,Customer 249,Business,US,Retail,High,0,2473.69,2020-04-28,2026-07,1,0,0,1
TX100133,CUST1208,2026-06-13 00:00:00,Wire,Credit,1480.23,US,CP2135,Customer 209,Business,US,Student,Low,0,4788.33,2019-06-19,2026-06,0,0,0,1
TX100134,CUST1145,2026-06-05 00:00:00,Cash Withdrawal,Debit,3847.69,US,CP1519,Customer 146,Business,US,Healthcare,Medium,0,3834.67,2020-07-30,2026-06,0,0,1,0
TX100135,CUST1273,2026-02-04 00:00:00,ACH,Credit,2273.5,US,CP1478,Customer 274,Business,AE,Hospitality,Low,0,3260.85,2022-01-04,2026-02,0,0,0,0
TX100136,CUST1032,2026-01-09 00:00:00,Check,Debit,1328.73,US,CP2489,Customer 33,Individual,GB,Student,Low,1,13421.88,2023-05-25,2026-01,0,0,0,0
TX100137,CUST1081,2026-06-07 00:00:00,Cash Withdrawal,Credit,885.67,US,CP1299,Customer 82,Business,US,Education,Low,0,1204.35,2019-04-24,2026-06,0,0,1,0
TX100138,CUST1134,2026-02-18 00:00:00,Card,Debit,921.9,US,CP2321,Customer 135,Business,MX,Logistics,Low,0,20394.55,2019-05-18,2026-02,0,0,0,0
TX100139,CUST1235,2026-06-01 00:00:00,ACH,Debit,437.21,US,CP2446,Customer 236,Individual,US,Hospitality,Low,0,1725.76,2025-02-08,2026-06,0,0,0,0
TX100140,CUST1100,2026-09-06 00:00:00,Card,Credit,1195.81,US,CP1167,Customer 101,Business,US,Hospitality,High,0,2031.93,2019-01-02,2026-09,0,0,0,0
TX100141,CUST1261,2026-05-10 00:00:00,Cash Deposit,Credit,4623.4,US,CP2024,Customer 262,Individual,US,Healthcare,Low,0,2643.08,2021-04-01,2026-05,0,0,1,0
TX100142,CUST1094,2026-08-03 00:00:00,Wire,Credit,1274.68,MX,CP1790,Customer 95,Individual,US,Healthcare,Low,0,3037.11,2024-05-05,2026-08,1,0,0,1
TX100143,CUST1106,2026-04-17 00:00:00,Card,Debit,6219.64,SG,CP1232,Customer 107,Individual,US,Construction,Medium,0,2285.66,2020-05-23,2026-04,1,0,0,0
TX100144,CUST1096,2026-01-30 00:00:00,Cash Deposit,Debit,924.57,US,CP2459,Customer 97,Individual,GB,Healthcare,Medium,0,3929.85,2022-02-23,2026-01,0,0,1,0
TX100145,CUST1123,2026-05-16 00:00:00,Wire,Credit,767.21,CA,CP1908,Customer 124,Individual,GB,Education,High,0,2146.02,2021-12-27,2026-05,1,0,0,1
TX100146,CUST1244,2026-06-07 00:00:00,Cash Deposit,Credit,4399.45,US,CP1321,Customer 245,Individual,GB,Finance,High,0,6828.62,2024-06-26,2026-06,0,0,1,0
TX100147,CUST1100,2026-08-28 00:00:00,Cash Withdrawal,Debit,400.22,GH,CP2425,Customer 101,Business,US,Hospitality,High,0,2031.93,2019-01-02,2026-08,1,0,1,0
TX100148,CUST1146,2026-05-21 00:00:00,Wire,Debit,832.03,SY,CP1270,Customer 147,Individual,GB,Logistics,Medium,0,16764.09,2023-12-03,2026-05,1,1,0,1
TX100149,CUST1001,2026-03-30 00:00:00,Cash Deposit,Credit,303.61,US,CP2060,Customer 2,Business,US,Logistics,Medium,0,1453.54,2020-10-15,2026-03,0,0,1,0
